CUSIP,Security Type,Security Term,Auction Date
912797HV2,Bill,8-Week,2023-10-19
912810TU2,Bond,19-Year 10-Month,2023-10-18
912797JE8,Bill,17-Week,2023-10-18
912796ZD4,CMB,42-Day,2023-10-17
912797GD3,Bill,13-Week,2023-10-16
912796CX5,Bill,26-Week,2023-10-16
912797HK6,Bill,4-Week,2023-10-12
912797HU4,Bill,8-Week,2023-10-12
912810TT5,Bond,29-Year 10-Month,2023-10-12
912797JD0,Bill,17-Week,2023-10-11
91282CHT1,Note,9-Year 10-Month,2023-10-11
91282CJC6,Note,3-Year,2023-10-10
912797FL6,CMB,43-Day,2023-10-10
912797GC5,Bill,13-Week,2023-10-10
912797HF7,Bill,26-Week,2023-10-10
912797HJ9,Bill,4-Week,2023-10-05
912797HN0,Bill,8-Week,2023-10-05
912797JC2,Bill,17-Week,2023-10-04
912797FK8,CMB,42-Day,2023-10-03
912797GW1,Bill,52-Week,2023-10-03
912797FW2,Bill,13-Week,2023-10-02
912797GZ4,Bill,26-Week,2023-10-02
912797HD2,Bill,4-Week,2023-09-28
912797HM2,Bill,8-Week,2023-09-28
91282CHZ7,Note,7-Year,2023-09-28
912797JB4,Bill,17-Week,2023-09-27
91282CJA0,Note,5-Year,2023-09-27
91282CHS3,FRN Note,1-Year 10-Month,2023-09-27
91282CJB8,Note,2-Year,2023-09-26
912797FJ1,CMB,42-Day,2023-09-26
912796ZN2,Bill,13-Week,2023-09-25
912797GY7,Bill,26-Week,2023-09-25
91282CHP9,TIPS Note,9-Year 10-Month,2023-09-21
912797HC4,Bill,4-Week,2023-09-21
912797HL4,Bill,8-Week,2023-09-21
912797JA6,Bill,17-Week,2023-09-20
912810TU2,Bond,19-Year 11-Month,2023-09-19
912796YT0,CMB,42-Day,2023-09-19
912797FV4,Bill,13-Week,2023-09-18
912797LL9,Bill,26-Week,2023-09-18
912797HB6,Bill,4-Week,2023-09-14
912797HK6,Bill,8-Week,2023-09-14
912797HZ3,Bill,17-Week,2023-09-13
912810TT5,Bond,29-Year 11-Month,2023-09-13
91282CHT1,Note,9-Year 11-Month,2023-09-12
912797FC6,CMB,42-Day,2023-09-12
91282CHY0,Note,3-Year,2023-09-11
912797FU6,Bill,13-Week,2023-09-11
912797GX9,Bill,26-Week,2023-09-11
912797HA8,Bill,4-Week,2023-09-07
912797HJ9,Bill,8-Week,2023-09-07
912797HY6,Bill,17-Week,2023-09-06
912797FB8,CMB,42-Day,2023-09-05
912797FT9,Bill,13-Week,2023-09-05
912797GQ4,Bill,26-Week,2023-09-05
912797GL5,Bill,52-Week,2023-09-05
912797GV3,Bill,4-Week,2023-08-31
912797HD2,Bill,8-Week,2023-08-31
912797HX8,Bill,17-Week,2023-08-30
912797FA0,CMB,42-Day,2023-08-29
91282CHW4,Note,7-Year,2023-08-29
912796ZD4,Bill,13-Week,2023-08-28
912797GP6,Bill,26-Week,2023-08-28
91282CHV6,Note,2-Year,2023-08-28
91282CHX2,Note,5-Year,2023-08-28
912810TP3,TIPS Bond,29-Year 6-Month,2023-08-24
912797GU5,Bill,4-Week,2023-08-24
912797HC4,Bill,8-Week,2023-08-24
912810TU2,Bond,20-Year,2023-08-23
912797HW0,Bill,17-Week,2023-08-23
91282CHS3,FRN Note,1-Year 11-Month,2023-08-23
912796YJ2,CMB,42-Day,2023-08-22
912797FL6,Bill,13-Week,2023-08-21
912796Z28,Bill,26-Week,2023-08-21
912797GJ0,CMB,7-Day,2023-08-17
912797GT8,Bill,4-Week,2023-08-17
912797HB6,Bill,8-Week,2023-08-17
912797HV2,Bill,17-Week,2023-08-16
912796CS6,CMB,42-Day,2023-08-15
912797FK8,Bill,13-Week,2023-08-14
912797GN1,Bill,26-Week,2023-08-14
912797GS0,Bill,4-Week,2023-08-10
912797HA8,Bill,8-Week,2023-08-10
912810TT5,Bond,30-Year,2023-08-10
912797HU4,Bill,17-Week,2023-08-09
91282CHT1,Note,10-Year,2023-08-09
91282CHU8,Note,3-Year,2023-08-08
912796CR8,CMB,42-Day,2023-08-08
912797GK7,Bill,52-Week,2023-08-08
912797FJ1,Bill,13-Week,2023-08-07
912797GM3,Bill,26-Week,2023-08-07
912797GR2,Bill,4-Week,2023-08-03
912797GV3,Bill,8-Week,2023-08-03
912797HN0,Bill,17-Week,2023-08-02
912796CQ0,CMB,42-Day,2023-08-01
912796YT0,Bill,13-Week,2023-07-31
912797GE1,Bill,26-Week,2023-07-31
912797GJ0,Bill,4-Week,2023-07-27
912797GU5,Bill,8-Week,2023-07-27
91282CHR5,Note,7-Year,2023-07-27
912797HM2,Bill,17-Week,2023-07-26
91282CHS3,FRN Note,2-Year,2023-07-26
91282CHQ7,Note,5-Year,2023-07-25
912796YH6,CMB,42-Day,2023-07-25
91282CHN4,Note,2-Year,2023-07-24
912797FC6,Bill,13-Week,2023-07-24
912796ZY8,Bill,26-Week,2023-07-24
91282CHP9,TIPS Note,10-Year,2023-07-20
912797GH4,Bill,4-Week,2023-07-20
912797GT8,Bill,8-Week,2023-07-20
912810TS7,Bond,19-Year 10-Month,2023-07-19
912797HL4,Bill,17-Week,2023-07-19
912796Z51,CMB,42-Day,2023-07-18
912797FB8,Bill,13-Week,2023-07-17
912797GD3,Bill,26-Week,2023-07-17
912797GG6,Bill,4-Week,2023-07-13
912797GS0,Bill,8-Week,2023-07-13
912810TR9,Bond,29-Year 10-Month,2023-07-13
912797HK6,Bill,17-Week,2023-07-12
91282CHC8,Note,9-Year 10-Month,2023-07-12
91282CHM6,Note,3-Year,2023-07-11
912796Z44,CMB,42-Day,2023-07-11
912797GB7,Bill,52-Week,2023-07-11
912797FA0,Bill,13-Week,2023-07-10
912797GC5,Bill,26-Week,2023-07-10
912797GF8,Bill,4-Week,2023-07-06
912797GR2,Bill,8-Week,2023-07-06
912797HJ9,Bill,17-Week,2023-07-05
912796Z36,CMB,42-Day,2023-07-03
912796YJ2,Bill,13-Week,2023-07-03
912797FW2,Bill,26-Week,2023-07-03
912797GA9,Bill,4-Week,2023-06-29
912797GJ0,Bill,8-Week,2023-06-29
912797HD2,Bill,17-Week,2023-06-28
91282CGY1,FRN Note,1-Year 10-Month,2023-06-28
91282CHJ3,Note,7-Year,2023-06-28
91282CHK0,Note,5-Year,2023-06-27
912796XY0,CMB,42-Day,2023-06-27
91282CHL8,Note,2-Year,2023-06-26
912796CS6,Bill,13-Week,2023-06-26
912796ZN2,Bill,26-Week,2023-06-26
91282CGW5,TIPS Note,4-Year 10-Month,2023-06-22
912797FZ5,Bill,4-Week,2023-06-22
912797GH4,Bill,8-Week,2023-06-22
912810TS7,Bond,19-Year 11-Month,2023-06-21
912797HC4,Bill,17-Week,2023-06-21
912796Y37,CMB,42-Day,2023-06-20
912796CR8,Bill,13-Week,2023-06-20
912797FV4,Bill,26-Week,2023-06-20
912797FY8,Bill,4-Week,2023-06-15
912797GG6,Bill,8-Week,2023-06-15
912797HB6,Bill,17-Week,2023-06-14
912796Y29,CMB,42-Day,2023-06-13
912797FS1,Bill,52-Week,2023-06-13
912810TR9,Bond,29-Year 11-Month,2023-06-13
912796CQ0,Bill,13-Week,2023-06-12
912797FU6,Bill,26-Week,2023-06-12
91282CHH7,Note,3-Year,2023-06-12
91282CHC8,Note,9-Year 11-Month,2023-06-12
912797FX0,Bill,4-Week,2023-06-08
912797GF8,Bill,8-Week,2023-06-08
912797HA8,Bill,17-Week,2023-06-07
912796YH6,Bill,13-Week,2023-06-05
912797FT9,Bill,26-Week,2023-06-05
912796ZZ5,CMB,44-Day,2023-06-05
912797FM4,CMB,1-Day,2023-06-02
912796XQ7,CMB,38-Day,2023-06-02
912797FR3,Bill,4-Week,2023-06-01
912797GA9,Bill,8-Week,2023-06-01
912797MF1,CMB,3-Day,2023-06-01
912797GV3,Bill,17-Week,2023-05-31
912796Z51,Bill,13-Week,2023-05-30
912797FJ1,CMB,161-Day,2023-05-30
912796ZD4,Bill,26-Week,2023-05-30
91282CHF1,Note,7-Year,2023-05-25
912797FQ5,Bill,4-Week,2023-05-25
912797FZ5,Bill,8-Week,2023-05-25
91282CHE4,Note,5-Year,2023-05-24
912797GU5,Bill,17-Week,2023-05-24
91282CGY1,FRN Note,1-Year 11-Month,2023-05-24
91282CHD6,Note,2-Year,2023-05-23
912796X53,CMB,21-Day,2023-05-23
912796Z44,Bill,13-Week,2023-05-22
912797FL6,Bill,26-Week,2023-05-22
91282CGK1,TIPS Note,9-Year 8-Month,2023-05-18
912797FP7,Bill,4-Week,2023-05-18
912797FY8,Bill,8-Week,2023-05-18
912797FC6,CMB,156-Day,2023-05-18
912810TS7,Bond,20-Year,2023-05-17
912797GT8,Bill,17-Week,2023-05-17
912797FB8,CMB,154-Day,2023-05-16
912797FH5,Bill,52-Week,2023-05-16
912796Z36,Bill,13-Week,2023-05-15
912797FK8,Bill,26-Week,2023-05-15
912797FN2,Bill,4-Week,2023-05-11
912797FX0,Bill,8-Week,2023-05-11
912797FA0,CMB,149-Day,2023-05-11
912810TR9,Bond,30-Year,2023-05-11
912797GS0,Bill,17-Week,2023-05-10
91282CHC8,Note,10-Year,2023-05-10
91282CHB0,Note,3-Year,2023-05-09
912796XY0,Bill,13-Week,2023-05-08
912797FJ1,Bill,26-Week,2023-05-08
912797FM4,Bill,4-Week,2023-05-04
912797FR3,Bill,8-Week,2023-05-04
912797GR2,Bill,17-Week,2023-05-03
912796ZF9,CMB,21-Day,2023-05-02
912796Y37,Bill,13-Week,2023-05-01
912796YT0,Bill,26-Week,2023-05-01
912797FG7,Bill,4-Week,2023-04-27
912797FQ5,Bill,8-Week,2023-04-27
912796W47,CMB,17-Day,2023-04-27
91282CGZ8,Note,7-Year,2023-04-27
912797GJ0,Bill,17-Week,2023-04-26
91282CGY1,FRN Note,2-Year,2023-04-26
91282CHA2,Note,5-Year,2023-04-26
91282CGX3,Note,2-Year,2023-04-25
912796Y29,Bill,13-Week,2023-04-24
912797FC6,Bill,26-Week,2023-04-24
91282CGW5,TIPS Note,5-Year,2023-04-20
912797FF9,Bill,4-Week,2023-04-20
912797FP7,Bill,8-Week,2023-04-20
912810TQ1,Bond,19-Year 10-Month,2023-04-19
912797GH4,Bill,17-Week,2023-04-19
912796CX5,Bill,52-Week,2023-04-18
912796ZZ5,Bill,13-Week,2023-04-17
912797FB8,Bill,26-Week,2023-04-17
912797FE2,Bill,4-Week,2023-04-13
912797FN2,Bill,8-Week,2023-04-13
912810TN8,Bond,29-Year 10-Month,2023-04-13
912797GG6,Bill,17-Week,2023-04-12
91282CGM7,Note,9-Year 10-Month,2023-04-12
91282CGV7,Note,3-Year,2023-04-11
912796XQ7,Bill,13-Week,2023-04-10
912797FA0,Bill,26-Week,2023-04-10
912797FD4,Bill,4-Week,2023-04-06
912797FM4,Bill,8-Week,2023-04-06
912797GF8,Bill,17-Week,2023-04-05
912796ZS1,Bill,13-Week,2023-04-03
912796YJ2,Bill,26-Week,2023-04-03
912796CW7,Bill,4-Week,2023-03-30
912797FG7,Bill,8-Week,2023-03-30
912797GA9,Bill,17-Week,2023-03-29
91282CGF2,FRN Note,1-Year 10-Month,2023-03-29
91282CGS4,Note,7-Year,2023-03-29
912797LM7,CMB,17-Day,2023-03-28
91282CGT2,Note,5-Year,2023-03-28
912796YN3,CMB,7-Day,2023-03-28
91282CGU9,Note,2-Year,2023-03-27
912796ZR3,Bill,13-Week,2023-03-27
912796CS6,Bill,26-Week,2023-03-27
91282CGK1,TIPS Note,9-Year 10-Month,2023-03-23
912796CV9,Bill,4-Week,2023-03-23
912797FF9,Bill,8-Week,2023-03-23
912797FZ5,Bill,17-Week,2023-03-22
912810TQ1,Bond,19-Year 11-Month,2023-03-21
912797LL9,Bill,52-Week,2023-03-21
912796ZQ5,Bill,13-Week,2023-03-20
912796CR8,Bill,26-Week,2023-03-20
912796CU1,Bill,4-Week,2023-03-17
912797FE2,Bill,8-Week,2023-03-17
912797FY8,Bill,17-Week,2023-03-15
912796X53,Bill,13-Week,2023-03-13
912796CQ0,Bill,26-Week,2023-03-13
912810TN8,Bond,29-Year 11-Month,2023-03-09
912796CT4,Bill,4-Week,2023-03-09
912797FD4,Bill,8-Week,2023-03-09
91282CGM7,Note,9-Year 11-Month,2023-03-08
912797FX0,Bill,17-Week,2023-03-08
91282CGR6,Note,3-Year,2023-03-07
912796ZP7,Bill,13-Week,2023-03-06
912796YH6,Bill,26-Week,2023-03-06
912796Z93,Bill,4-Week,2023-03-02
912796CW7,Bill,8-Week,2023-03-02
912797FR3,Bill,17-Week,2023-03-01
912796ZG7,Bill,13-Week,2023-02-27
912796Z51,Bill,26-Week,2023-02-27
912796YL7,CMB,16-Day,2023-02-23
912796Z85,Bill,4-Week,2023-02-23
912796CV9,Bill,8-Week,2023-02-23
91282CGQ8,Note,7-Year,2023-02-23
912797FQ5,Bill,17-Week,2023-02-22
91282CGP0,Note,5-Year,2023-02-22
91282CGF2,FRN Note,1-Year 11-Month,2023-02-22
91282CGN5,Note,2-Year,2023-02-21
912796ZF9,Bill,13-Week,2023-02-21
912796Z44,Bill,26-Week,2023-02-21
912796Z28,Bill,52-Week,2023-02-21
912810TP3,TIPS Bond,30-Year,2023-02-16
912796Z77,Bill,4-Week,2023-02-16
912796CU1,Bill,8-Week,2023-02-16
912810TQ1,Bond,20-Year,2023-02-15
912797FP7,Bill,17-Week,2023-02-15
912796Y78,CMB,12-Day,2023-02-14
912796W47,Bill,13-Week,2023-02-13
912796Z36,Bill,26-Week,2023-02-13
912810TN8,Bond,30-Year,2023-02-09
912796Z69,Bill,4-Week,2023-02-09
912796CT4,Bill,8-Week,2023-02-09
91282CGM7,Note,10-Year,2023-02-08
912797FN2,Bill,17-Week,2023-02-08
91282CGL9,Note,3-Year,2023-02-07
912796ZE2,Bill,13-Week,2023-02-06
912796XY0,Bill,26-Week,2023-02-06
912796Y86,Bill,4-Week,2023-02-02
912796Z93,Bill,8-Week,2023-02-02
912797FM4,Bill,17-Week,2023-02-01
912796YW3,Bill,13-Week,2023-01-30
912796Y37,Bill,26-Week,2023-01-30
912796Y78,Bill,4-Week,2023-01-26
912796Z85,Bill,8-Week,2023-01-26
91282CGJ4,Note,7-Year,2023-01-26
912797FG7,Bill,17-Week,2023-01-25
91282CGF2,FRN Note,2-Year,2023-01-25
91282CGH8,Note,5-Year,2023-01-25
91282CGG0,Note,2-Year,2023-01-24
912796ZY8,Bill,52-Week,2023-01-24
912796YV5,Bill,13-Week,2023-01-23
912796Y29,Bill,26-Week,2023-01-23
91282CGK1,TIPS Note,10-Year,2023-01-19
912796Y60,Bill,4-Week,2023-01-19
912796YK9,CMB,44-Day,2023-01-19
912796Z77,Bill,8-Week,2023-01-19
912810TM0,Bond,19-Year 10-Month,2023-01-18
912797FF9,Bill,17-Week,2023-01-18
912796V48,Bill,13-Week,2023-01-17
912796ZZ5,Bill,26-Week,2023-01-17
912796T33,CMB,35-Day,2023-01-12
912796ZU6,Bill,4-Week,2023-01-12
912796Z69,Bill,8-Week,2023-01-12
912810TL2,Bond,29-Year 10-Month,2023-01-12
912797FE2,Bill,17-Week,2023-01-11
91282CFV8,Note,9-Year 10-Month,2023-01-11
91282CGE5,Note,3-Year,2023-01-10
912796YU7,Bill,13-Week,2023-01-09
912796XQ7,Bill,26-Week,2023-01-09
912796ZT9,Bill,4-Week,2023-01-05
912796Y86,Bill,8-Week,2023-01-05
912797FD4,Bill,17-Week,2023-01-04
912796YN3,Bill,13-Week,2023-01-03
912796ZS1,Bill,26-Week,2023-01-03
912796ZM4,Bill,4-Week,2022-12-29
912796Y78,Bill,8-Week,2022-12-29
91282CGB1,Note,7-Year,2022-12-29
912796CW7,Bill,17-Week,2022-12-28
91282CGC9,Note,5-Year,2022-12-28
91282CFS5,FRN Note,1-Year 10-Month,2022-12-28
91282CGD7,Note,2-Year,2022-12-27
912796YM5,Bill,13-Week,2022-12-27
912796ZR3,Bill,26-Week,2022-12-27
912796ZN2,Bill,52-Week,2022-12-27
91282CFR7,TIPS Note,4-Year 10-Month,2022-12-22
912796ZL6,Bill,4-Week,2022-12-22
912796Y60,Bill,8-Week,2022-12-22
912810TM0,Bond,19-Year 11-Month,2022-12-21
912796CV9,Bill,17-Week,2022-12-21
912796U31,Bill,13-Week,2022-12-19
912796ZQ5,Bill,26-Week,2022-12-19
912796ZK8,Bill,4-Week,2022-12-15
912796ZU6,Bill,8-Week,2022-12-15
912796CU1,Bill,17-Week,2022-12-14
912810TL2,Bond,29-Year 11-Month,2022-12-13
912796YL7,Bill,13-Week,2022-12-12
912796X53,Bill,26-Week,2022-12-12
91282CGA3,Note,3-Year,2022-12-12
91282CFV8,Note,9-Year 11-Month,2022-12-12
912796ZJ1,Bill,4-Week,2022-12-08
912796ZT9,Bill,8-Week,2022-12-08
912796CT4,Bill,17-Week,2022-12-07
912796YK9,Bill,13-Week,2022-12-05
912796ZP7,Bill,26-Week,2022-12-05
912796ZH5,Bill,4-Week,2022-12-01
912796ZM4,Bill,8-Week,2022-12-01
912796Z93,Bill,17-Week,2022-11-30
912796ZD4,Bill,52-Week,2022-11-29
912796YB9,Bill,13-Week,2022-11-28
912796ZG7,Bill,26-Week,2022-11-28
912796ZA0,Bill,4-Week,2022-11-23
912796ZL6,Bill,8-Week,2022-11-23
912796Z85,Bill,17-Week,2022-11-23
91282CFY2,Note,7-Year,2022-11-22
91282CFS5,FRN Note,1-Year 11-Month,2022-11-22
91282CFX4,Note,2-Year,2022-11-21
91282CFZ9,Note,5-Year,2022-11-21
912796T33,Bill,13-Week,2022-11-21
912796ZF9,Bill,26-Week,2022-11-21
91282CEZ0,TIPS Note,9-Year 8-Month,2022-11-17
912796X61,CMB,16-Day,2022-11-17
912796YZ6,Bill,4-Week,2022-11-17
912796ZK8,Bill,8-Week,2022-11-17
912810TM0,Bond,20-Year,2022-11-16
912796Z77,Bill,17-Week,2022-11-16
912796YA1,Bill,13-Week,2022-11-14
912796W47,Bill,26-Week,2022-11-14
912796YY9,Bill,4-Week,2022-11-10
912796ZJ1,Bill,8-Week,2022-11-10
912810TL2,Bond,30-Year,2022-11-10
912796Z69,Bill,17-Week,2022-11-09
91282CFV8,Note,10-Year,2022-11-09
91282CFW6,Note,3-Year,2022-11-08
912796XZ7,Bill,13-Week,2022-11-07
912796ZE2,Bill,26-Week,2022-11-07
912796YX1,Bill,4-Week,2022-11-03
912796ZH5,Bill,8-Week,2022-11-03
912796Y86,Bill,17-Week,2022-11-02
912796YT0,Bill,52-Week,2022-11-01
912796XT1,Bill,13-Week,2022-10-31
912796YW3,Bill,26-Week,2022-10-31
912796YS2,Bill,4-Week,2022-10-27
912796ZA0,Bill,8-Week,2022-10-27
91282CFT3,Note,7-Year,2022-10-27
912796Y78,Bill,17-Week,2022-10-26
91282CFS5,FRN Note,2-Year,2022-10-26
91282CFU0,Note,5-Year,2022-10-26
91282CFQ9,Note,2-Year,2022-10-25
912796S34,Bill,13-Week,2022-10-24
912796YV5,Bill,26-Week,2022-10-24
91282CFR7,TIPS Note,5-Year,2022-10-20
912796YR4,Bill,4-Week,2022-10-20
912796YZ6,Bill,8-Week,2022-10-20
912810TK4,Bond,19-Year 10-Month,2022-10-19
912796Y60,Bill,17-Week,2022-10-19
912796XS3,Bill,13-Week,2022-10-17
912796V48,Bill,26-Week,2022-10-17
912796YQ6,Bill,4-Week,2022-10-13
912796YY9,Bill,8-Week,2022-10-13
912810TJ7,Bond,29-Year 10-Month,2022-10-13
912796ZU6,CMB,119-Day,2022-10-12
91282CFF3,Note,9-Year 10-Month,2022-10-12
91282CFP1,Note,3-Year,2022-10-11
912796XR5,Bill,13-Week,2022-10-11
912796YU7,Bill,26-Week,2022-10-11
912796YP8,Bill,4-Week,2022-10-06
912796YX1,Bill,8-Week,2022-10-06
912796ZT9,CMB,119-Day,2022-10-05
912796YJ2,Bill,52-Week,2022-10-04
912796X95,Bill,13-Week,2022-10-03
912796YN3,Bill,26-Week,2022-10-03
912796YG8,Bill,4-Week,2022-09-29
912796YS2,Bill,8-Week,2022-09-29
912796ZM4,CMB,119-Day,2022-09-28
91282CFD8,FRN Note,1-Year 10-Month,2022-09-28
91282CFL0,Note,7-Year,2022-09-28
91282CFM8,Note,5-Year,2022-09-27
91282CFN6,Note,2-Year,2022-09-26
912796R27,Bill,13-Week,2022-09-26
912796YM5,Bill,26-Week,2022-09-26
91282CEZ0,TIPS Note,9-Year 10-Month,2022-09-22
912796YF0,Bill,4-Week,2022-09-22
912796YR4,Bill,8-Week,2022-09-22
912796ZL6,CMB,119-Day,2022-09-21
912810TK4,Bond,19-Year 11-Month,2022-09-20
912796X87,Bill,13-Week,2022-09-19
912796U31,Bill,26-Week,2022-09-19
912796YE3,Bill,4-Week,2022-09-15
912796YQ6,Bill,8-Week,2022-09-15
912796ZK8,CMB,119-Day,2022-09-14
912810TJ7,Bond,29-Year 11-Month,2022-09-13
912796X79,Bill,13-Week,2022-09-12
912796YL7,Bill,26-Week,2022-09-12
91282CFK2,Note,3-Year,2022-09-12
91282CFF3,Note,9-Year 11-Month,2022-09-12
912796YD5,Bill,4-Week,2022-09-08
912796YP8,Bill,8-Week,2022-09-08
912796ZJ1,CMB,119-Day,2022-09-07
912796X61,Bill,13-Week,2022-09-06
912796YK9,Bill,26-Week,2022-09-06
912796YH6,Bill,52-Week,2022-09-06
912796YC7,Bill,4-Week,2022-09-01
912796YG8,Bill,8-Week,2022-09-01
912796ZH5,CMB,119-Day,2022-08-31
912796P94,Bill,13-Week,2022-08-29
912796YB9,Bill,26-Week,2022-08-29
91282CFJ5,Note,7-Year,2022-08-25
912796XX2,Bill,4-Week,2022-08-25
912796YF0,Bill,8-Week,2022-08-25
91282CFH9,Note,5-Year,2022-08-24
912796ZA0,CMB,119-Day,2022-08-24
91282CFD8,FRN Note,1-Year 11-Month,2022-08-24
91282CFG1,Note,2-Year,2022-08-23
912796U49,CMB,21-Day,2022-08-23
912796W70,Bill,13-Week,2022-08-22
912796T33,Bill,26-Week,2022-08-22
912810TE8,TIPS Bond,29-Year 6-Month,2022-08-18
912796XW4,Bill,4-Week,2022-08-18
912796YE3,Bill,8-Week,2022-08-18
912810TK4,Bond,20-Year,2022-08-17
912796YZ6,CMB,119-Day,2022-08-17
912796W62,Bill,13-Week,2022-08-15
912796YA1,Bill,26-Week,2022-08-15
912796XV6,Bill,4-Week,2022-08-11
912796YD5,Bill,8-Week,2022-08-11
912810TJ7,Bond,30-Year,2022-08-11
912796YY9,CMB,119-Day,2022-08-10
91282CFF3,Note,10-Year,2022-08-10
91282CFE6,Note,3-Year,2022-08-09
912796XY0,Bill,52-Week,2022-08-09
912796W54,Bill,13-Week,2022-08-08
912796XZ7,Bill,26-Week,2022-08-08
912796XU8,Bill,4-Week,2022-08-04
912796YC7,Bill,8-Week,2022-08-04
912796YX1,CMB,119-Day,2022-08-03
912796N96,Bill,13-Week,2022-08-01
912796XT1,Bill,26-Week,2022-08-01
912796XP9,Bill,4-Week,2022-07-28
912796XX2,Bill,8-Week,2022-07-28
91282CFC0,Note,7-Year,2022-07-28
912796YS2,CMB,119-Day,2022-07-27
91282CFD8,FRN Note,2-Year,2022-07-27
91282CFB2,Note,5-Year,2022-07-26
91282CFA4,Note,2-Year,2022-07-25
912796V71,Bill,13-Week,2022-07-25
912796S34,Bill,26-Week,2022-07-25
91282CEZ0,TIPS Note,10-Year,2022-07-21
912796XN4,Bill,4-Week,2022-07-21
912796XW4,Bill,8-Week,2022-07-21
912810TH1,Bond,19-Year 10-Month,2022-07-20
912796YR4,CMB,119-Day,2022-07-20
912796V63,Bill,13-Week,2022-07-18
912796XS3,Bill,26-Week,2022-07-18
912796XM6,Bill,4-Week,2022-07-14
912796XV6,Bill,8-Week,2022-07-14
91282CEL1,FRN Note,1-Year 10-Month,2022-07-14
912796YQ6,CMB,119-Day,2022-07-13
912810TG3,Bond,29-Year 10-Month,2022-07-13
91282CEP2,Note,9-Year 10-Month,2022-07-12
912796XQ7,Bill,52-Week,2022-07-12
91282CEY3,Note,3-Year,2022-07-11
912796V55,Bill,13-Week,2022-07-11
912796XR5,Bill,26-Week,2022-07-11
912796XL8,Bill,4-Week,2022-07-07
912796XU8,Bill,8-Week,2022-07-07
912796YP8,CMB,119-Day,2022-07-06
912796M89,Bill,13-Week,2022-07-05
912796X95,Bill,26-Week,2022-07-05
912796X46,Bill,4-Week,2022-06-30
912796XP9,Bill,8-Week,2022-06-30
912796YG8,CMB,119-Day,2022-06-29
91282CEV9,Note,7-Year,2022-06-28
912796U64,Bill,13-Week,2022-06-27
912796R27,Bill,26-Week,2022-06-27
91282CEX5,Note,2-Year,2022-06-27
91282CEW7,Note,5-Year,2022-06-27
91282CEJ6,TIPS Note,4-Year 10-Month,2022-06-23
912796X38,Bill,4-Week,2022-06-23
912796XN4,Bill,8-Week,2022-06-23
912810TH1,Bond,19-Year 11-Month,2022-06-22
912796YF0,CMB,119-Day,2022-06-22
91282CEL1,FRN Note,1-Year 10-Month,2022-06-22
912796U56,Bill,13-Week,2022-06-21
912796X87,Bill,26-Week,2022-06-21
912796X20,Bill,4-Week,2022-06-16
912796XM6,Bill,8-Week,2022-06-16
912796YE3,CMB,119-Day,2022-06-15
912796X53,Bill,52-Week,2022-06-14
912796U49,Bill,13-Week,2022-06-13
912796X79,Bill,26-Week,2022-06-13
912810TG3,Bond,29-Year 11-Month,2022-06-09
912796W96,Bill,4-Week,2022-06-09
912796XL8,Bill,8-Week,2022-06-09
91282CEP2,Note,9-Year 11-Month,2022-06-08
912796YD5,CMB,119-Day,2022-06-08
91282CEU1,Note,3-Year,2022-06-07
912796M71,Bill,13-Week,2022-06-06
912796X61,Bill,26-Week,2022-06-06
912796W88,Bill,4-Week,2022-06-02
912796X46,Bill,8-Week,2022-06-02
912796YC7,CMB,119-Day,2022-06-01
912796T66,Bill,13-Week,2022-05-31
912796P94,Bill,26-Week,2022-05-31
912796W39,Bill,4-Week,2022-05-26
912796X38,Bill,8-Week,2022-05-26
91282CES6,Note,7-Year,2022-05-26
912796XX2,CMB,119-Day,2022-05-25
91282CET4,Note,5-Year,2022-05-25
91282CEL1,FRN Note,1-Year 11-Month,2022-05-25
91282CER8,Note,2-Year,2022-05-24
912796T58,Bill,13-Week,2022-05-23
912796W70,Bill,26-Week,2022-05-23
91282CDX6,TIPS Note,9-Year 8-Month,2022-05-19
912796W21,Bill,4-Week,2022-05-19
912796X20,Bill,8-Week,2022-05-19
912810TH1,Bond,20-Year,2022-05-18
912796XW4,CMB,119-Day,2022-05-18
912796W47,Bill,52-Week,2022-05-18
912796T41,Bill,13-Week,2022-05-16
912796W62,Bill,26-Week,2022-05-16
912796V97,Bill,4-Week,2022-05-12
912796W96,Bill,8-Week,2022-05-12
912810TG3,Bond,30-Year,2022-05-12
912796XV6,CMB,119-Day,2022-05-11
91282CEP2,Note,10-Year,2022-05-11
91282CEQ0,Note,3-Year,2022-05-10
912796L64,Bill,13-Week,2022-05-09
912796W54,Bill,26-Week,2022-05-09
912796V89,Bill,4-Week,2022-05-05
912796W88,Bill,8-Week,2022-05-05
912796XU8,CMB,119-Day,2022-05-04
912796S67,Bill,13-Week,2022-05-02
912796N96,Bill,26-Week,2022-05-02
912796V30,Bill,4-Week,2022-04-28
912796W39,Bill,8-Week,2022-04-28
91282CEM9,Note,7-Year,2022-04-28
912796XP9,CMB,119-Day,2022-04-27
91282CEL1,FRN Note,2-Year,2022-04-27
91282CEN7,Note,5-Year,2022-04-27
91282CEK3,Note,2-Year,2022-04-26
912796S59,Bill,13-Week,2022-04-25
912796V71,Bill,26-Week,2022-04-25
91282CEJ6,TIPS Note,5-Year,2022-04-21
912796V22,Bill,4-Week,2022-04-21
912796W21,Bill,8-Week,2022-04-21
912810TF5,Bond,19-Year 10-Month,2022-04-20
